State,District,Aadhaar generated,Enrolment Rejected
Andhra Pradesh,Adilabad,129,73
Andhra Pradesh,Ananthapur,125,209
Andhra Pradesh,Chittoor,680,271
Andhra Pradesh,Cuddapah,131,108
Andhra Pradesh,East Godavari,72,55
Andhra Pradesh,Guntur,39,27
Andhra Pradesh,Hyderabad,78,78
Andhra Pradesh,Karimnagar,122,149
Andhra Pradesh,Khammam,113,122
Andhra Pradesh,Krishna,82,28
Andhra Pradesh,Kurnool,187,213
Andhra Pradesh,Mahbubnagar,713,198
Andhra Pradesh,Medak,51,93
Andhra Pradesh,Nalgonda,13,86
Andhra Pradesh,Nellore,230,215
Andhra Pradesh,Nizamabad,326,203
Andhra Pradesh,Prakasam,132,39
Andhra Pradesh,Ranga Reddy,54,163
Andhra Pradesh,Srikakulam,38,49
Andhra Pradesh,Visakhapatnam,479,264
Andhra Pradesh,Vizianagaram,505,98
Andhra Pradesh,Warangal,24,165
Andhra Pradesh,West Godavari,178,135
Arunachal Pradesh,Papum Pare,19,0
Arunachal Pradesh,West Kameng,1,0
Assam,Baksa,4,0
Assam,Barpeta,2,0
Assam,Bongaigaon,1,1
Assam,Dhemaji,2,0
Assam,Dhubri,2,0
Assam,Dibrugarh,1,0
Assam,Golaghat,1,0
Assam,Hailakandi,2,0
Assam,Kamrup,1,0
Assam,Karimganj,7,1
Assam,Lakhimpur,2,0
Assam,Nagaon,11,0
Assam,North Cachar Hills,3,0
Assam,Sibsagar,3,0
Assam,Sonitpur,10,0
Assam,Tinsukia,2,0
Assam,Udalguri,3,0
Bihar,Araria,28,5
Bihar,Arwal,31,3
Bihar,Aurangabad,4177,42
Bihar,Banka,3486,113
Bihar,Begusarai,3393,117
Bihar,Bhagalpur,242,35
Bihar,Bhojpur,3764,41
Bihar,Buxar,2540,10
Bihar,Darbhanga,72,7
Bihar,East Champaran,1082,41
Bihar,Gaya,2366,47
Bihar,Gopalganj,1556,81
Bihar,Jamui,208,1
Bihar,Jehanabad,823,45
Bihar,Kaimur (Bhabua),29,3
Bihar,Katihar,279,16
Bihar,Khagaria,24,5
Bihar,Kishanganj,15,2
Bihar,Lakhisarai,3970,14
Bihar,Madhepura,28,3
Bihar,Madhubani,729,51
Bihar,Munger,1130,38
Bihar,Muzaffarpur,6791,232
Bihar,Nalanda,192,15
Bihar,Nawada,751,8
Bihar,Patna,15288,526
Bihar,Purnia,1499,76
Bihar,Rohtas,2825,34
Bihar,Saharsa,167,18
Bihar,Samastipur,383,15
Bihar,Saran,8440,93
Bihar,Sheikhpura,55,1
